Wall time,Step,Value
1674704974.739102,0,9.5
1674705005.2165353,10000,249.5
1674705039.923708,20000,252.5
1674705074.3156583,30000,281.0
1674705108.3391874,40000,289.0
1674705144.751412,50000,494.5
1674705181.5034797,60000,500.0
