Wall time,Step,Value
1674704680.5597384,0,28.0
1674704710.4945276,10000,239.5
1674704745.1614537,20000,271.5
1674704781.860229,30000,270.0
1674704817.5204365,40000,258.5
1674704853.331774,50000,325.0
1674704889.7939653,60000,411.5
1674704927.0403283,70000,466.5
1674704963.4022586,80000,500.0
