Wall time,Step,Value
1674705099.3929443,0,10.0
1674705147.4759521,10000,71.0
1674705201.1360412,20000,40.0
1674705253.213061,30000,41.0
1674705312.8942997,40000,35.0
1674705369.8255792,50000,34.5
1674705427.5985034,60000,41.0
1674705481.8406022,70000,66.0
1674705541.0835211,80000,175.5
1674705599.2826703,90000,137.5
1674705658.0559845,100000,500.0
