Wall time,Step,Value
1674705251.017802,0,9.0
1674705281.6283405,10000,199.0
1674705316.6593916,20000,269.5
1674705351.9717128,30000,228.0
1674705387.423573,40000,290.0
1674705424.1269515,50000,500.0
