Wall time,Step,Value
1675966029.7013397,0,9.199999809265137
1675966032.6829863,10000,9.0
1675966080.4208372,20000,252.60000610351562
1675966130.395048,30000,379.79998779296875
1675966179.091564,40000,87.80000305175781
1675966227.7665756,50000,108.19999694824219
1675966277.550654,60000,315.1000061035156
1675966328.1760418,70000,500.0
1675966376.3297122,80000,500.0
1675966422.7357512,90000,500.0
1675966469.1959686,100000,500.0
